Scratch-Off Prizes as of 03/18/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1293,Double Blackjack,05/30/2012,2,20,49323,40289
1293,Double Blackjack,05/30/2012,2,50,35552,29401
1293,Double Blackjack,05/30/2012,2,100,13066,10749
1293,Double Blackjack,05/30/2012,2,500,832,669
1293,Double Blackjack,05/30/2012,2,2100,23,18
1293,Double Blackjack,05/30/2012,2,21000,8,6
1293,Double Blackjack,05/30/2012,2,TOTAL,1691787,1344278
1297,Red Hot Cherries,04/04/2012,1,1,984640,860410
1297,Red Hot Cherries,04/04/2012,1,2,1136256,1020396
1297,Red Hot Cherries,04/04/2012,1,4,227302,207753
1297,Red Hot Cherries,04/04/2012,1,5,75772,69784
1297,Red Hot Cherries,04/04/2012,1,10,75750,70444
1297,Red Hot Cherries,04/04/2012,1,20,37864,35327
1297,Red Hot Cherries,04/04/2012,1,40,4751,4442
1297,Red Hot Cherries,04/04/2012,1,50,2363,2227
1297,Red Hot Cherries,04/04/2012,1,100,1892,1766
1297,Red Hot Cherries,04/04/2012,1,500,241,222
1297,Red Hot Cherries,04/04/2012,1,1000,144,138
1297,Red Hot Cherries,04/04/2012,1,TOTAL,2546975,2272909
1310,Triple Your Money,,2,2,595899,474370
1310,Triple Your Money,,2,3,728385,585057
1310,Triple Your Money,,2,5,165537,135219
1310,Triple Your Money,,2,10,115943,95951
1310,Triple Your Money,,2,15,49631,41020
1310,Triple Your Money,,2,20,66183,54961
1310,Triple Your Money,,2,30,27597,22754
1310,Triple Your Money,,2,60,20502,17022
1310,Triple Your Money,,2,200,4821,4009
1310,Triple Your Money,,2,1000,139,115
1310,Triple Your Money,,2,20000,8,6
1310,Triple Your Money,,2,TOTAL,1774645,1430484
1317,Yellow Rose of Texas,,2,2,659764,508014
1317,Yellow Rose of Texas,,2,4,758986,603458
1317,Yellow Rose of Texas,,2,5,98988,78532
1317,Yellow Rose of Texas,,2,10,115434,94695
1317,Yellow Rose of Texas,,2,20,49520,40682
1317,Yellow Rose of Texas,,2,50,54961,45704
1317,Yellow Rose of Texas,,2,100,7681,6421
1317,Yellow Rose of Texas,,2,1000,49,44
1317,Yellow Rose of Texas,,2,20000,8,6
1317,Yellow Rose of Texas,,2,TOTAL,1745391,1377556
1321,Veterans Cash,04/04/2012,2,2,1411663,1049231
1321,Veterans Cash,04/04/2012,2,5,664391,505348
1321,Veterans Cash,04/04/2012,2,10,207670,161648
1321,Veterans Cash,04/04/2012,2,20,82983,64743
1321,Veterans Cash,04/04/2012,2,30,31129,24772
1321,Veterans Cash,04/04/2012,2,50,13585,10559
1321,Veterans Cash,04/04/2012,2,100,4110,3202
1321,Veterans Cash,04/04/2012,2,PRIZE PACK,3455,1478
1321,Veterans Cash,04/04/2012,2,1000,19,11
1321,Veterans Cash,04/04/2012,2,20000,11,8
