Scratch-Off Prizes as of 03/28/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1293,Double Blackjack,05/30/2012,2,20,49323,40786
1293,Double Blackjack,05/30/2012,2,50,35552,29793
1293,Double Blackjack,05/30/2012,2,100,13066,10893
1293,Double Blackjack,05/30/2012,2,500,832,674
1293,Double Blackjack,05/30/2012,2,2100,23,18
1293,Double Blackjack,05/30/2012,2,21000,8,6
1293,Double Blackjack,05/30/2012,2,TOTAL,1691787,1361978
1297,Red Hot Cherries,04/04/2012,1,1,984640,862229
1297,Red Hot Cherries,04/04/2012,1,2,1136256,1022104
1297,Red Hot Cherries,04/04/2012,1,4,227302,208028
1297,Red Hot Cherries,04/04/2012,1,5,75772,69870
1297,Red Hot Cherries,04/04/2012,1,10,75750,70518
1297,Red Hot Cherries,04/04/2012,1,20,37864,35356
1297,Red Hot Cherries,04/04/2012,1,40,4751,4447
1297,Red Hot Cherries,04/04/2012,1,50,2363,2228
1297,Red Hot Cherries,04/04/2012,1,100,1892,1767
1297,Red Hot Cherries,04/04/2012,1,500,241,222
1297,Red Hot Cherries,04/04/2012,1,1000,144,138
1297,Red Hot Cherries,04/04/2012,1,TOTAL,2546975,2276907
1310,Triple Your Money,,2,2,595899,481939
1310,Triple Your Money,,2,3,728385,594335
1310,Triple Your Money,,2,5,165537,137309
1310,Triple Your Money,,2,10,115943,97414
1310,Triple Your Money,,2,15,49631,41673
1310,Triple Your Money,,2,20,66183,55843
1310,Triple Your Money,,2,30,27597,23092
1310,Triple Your Money,,2,60,20502,17256
1310,Triple Your Money,,2,200,4821,4061
1310,Triple Your Money,,2,1000,139,118
1310,Triple Your Money,,2,20000,8,6
1310,Triple Your Money,,2,TOTAL,1774645,1453046
1317,Yellow Rose of Texas,,2,2,659764,530511
1317,Yellow Rose of Texas,,2,4,758986,629525
1317,Yellow Rose of Texas,,2,5,98988,81826
1317,Yellow Rose of Texas,,2,10,115434,98602
1317,Yellow Rose of Texas,,2,20,49520,42281
1317,Yellow Rose of Texas,,2,50,54961,47497
1317,Yellow Rose of Texas,,2,100,7681,6664
1317,Yellow Rose of Texas,,2,1000,49,44
1317,Yellow Rose of Texas,,2,20000,8,6
1317,Yellow Rose of Texas,,2,TOTAL,1745391,1436956
1321,Veterans Cash,04/04/2012,2,2,1411663,1053213
1321,Veterans Cash,04/04/2012,2,5,664391,507010
1321,Veterans Cash,04/04/2012,2,10,207670,162155
1321,Veterans Cash,04/04/2012,2,20,82983,64921
1321,Veterans Cash,04/04/2012,2,30,31129,24834
1321,Veterans Cash,04/04/2012,2,50,13585,10585
1321,Veterans Cash,04/04/2012,2,100,4110,3213
1321,Veterans Cash,04/04/2012,2,PRIZE PACK,3455,1501
1321,Veterans Cash,04/04/2012,2,1000,19,11
1321,Veterans Cash,04/04/2012,2,20000,11,8
1321,Veterans Cash,04/04/2012,2,TOTAL,2419016,1827451
1322,Funky 5's,,5,5,493829,386647
1322,Funky 5's,,5,10,658498,528664
1322,Funky 5's,,5,15,185272,150479
1322,Funky 5's,,5,20,164591,134723
1322,Funky 5's,,5,50,82313,67148
1322,Funky 5's,,5,100,7704,6267
1322,Funky 5's,,5,200,262,208
1322,Funky 5's,,5,500,728,607
1322,Funky 5's,,5,1000,156,125
1322,Funky 5's,,5,5000,21,15
1322,Funky 5's,,5,50000,6,5
1322,Funky 5's,,5,TOTAL,1593380,1274888
1333,Break The Bank,,2,2,1508525,1289981
1333,Break The Bank,,2,4,892936,786413
1333,Break The Bank,,2,6,246220,220392
1333,Break The Bank,,2,8,61657,55481
1333,Break The Bank,,2,10,153946,138900
1333,Break The Bank,,2,12,184698,167365
1333,Break The Bank,,2,20,92289,83574
1333,Break The Bank,,2,50,56997,51836
1333,Break The Bank,,2,200,10772,9744
1333,Break The Bank,,2,1000,327,290
1333,Break The Bank,,2,3000,79,71
1333,Break The Bank,,2,30000,10,7
1333,Break The Bank,,2,TOTAL,3208456,2804054
1336,Veterans Cash,,2,2,792054,201916
1336,Veterans Cash,,2,4,791785,213063
1336,Veterans Cash,,2,5,197878,52351
1336,Veterans Cash,,2,10,98981,27741
1336,Veterans Cash,,2,20,66041,18254
1336,Veterans Cash,,2,50,36444,10598
1336,Veterans Cash,,2,100,3444,994
1336,Veterans Cash,,2,1000,104,19
1336,Veterans Cash,,2,20000,20,3
1336,Veterans Cash,,2,TOTAL,1986751,524939
1341,Loteria® Texas,05/02/2012,3,3,2038492,1847472
1341,Loteria® Texas,05/02/2012,3,4,479752,435192
1341,Loteria® Texas,05/02/2012,3,7,419716,393070
1341,Loteria® Texas,05/02/2012,3,10,269711,248584
1341,Loteria® Texas,05/02/2012,3,17,239922,226476
1341,Loteria® Texas,05/02/2012,3,20,239787,222963
1341,Loteria® Texas,05/02/2012,3,30,24944,23606
1341,Loteria® Texas,05/02/2012,3,33,12499,11824
1341,Loteria® Texas,05/02/2012,3,50,11887,11079
1341,Loteria® Texas,05/02/2012,3,80,9993,9473
1341,Loteria® Texas,05/02/2012,3,300,7479,6864
1341,Loteria® Texas,05/02/2012,3,3000,226,211
1341,Loteria® Texas,05/02/2012,3,33000,30,29
1341,Loteria® Texas,05/02/2012,3,TOTAL,3754438,3436843
1342,Bonus Break The Bank,05/02/2012,5,5,1408204,1322618
1342,Bonus Break The Bank,05/02/2012,5,10,1609950,1536466
1342,Bonus Break The Bank,05/02/2012,5,15,553215,530745
1342,Bonus Break The Bank,05/02/2012,5,20,150995,144918
1342,Bonus Break The Bank,05/02/2012,5,50,196172,189234
1342,Bonus Break The Bank,05/02/2012,5,100,37791,36235
1342,Bonus Break The Bank,05/02/2012,5,500,2010,1923
1342,Bonus Break The Bank,05/02/2012,5,1000,384,372
1342,Bonus Break The Bank,05/02/2012,5,7500,40,38
1342,Bonus Break The Bank,05/02/2012,5,75000,21,20
1342,Bonus Break The Bank,05/02/2012,5,TOTAL,3958782,3762569
1343,Monthly Bonus,04/09/2012,5,5,1029476,837426
1343,Monthly Bonus,04/09/2012,5,10,1132879,941485
