"Scratch-Off Prizes as of 03/07/2012",,,,,,
"Game Number"," Game Name"," Game Close Date"," Ticket Price"," Prize Level"," Total Prizes in Level"," Prizes Claimed"
1277,"Casino Action",,50,"100","207431","28918"
1277,"Casino Action",,50,"120","12775","1767"
1277,"Casino Action",,50,"140","18235","2533"
1277,"Casino Action",,50,"150","27930","3954"
1277,"Casino Action",,50,"200","14690","2053"
1277,"Casino Action",,50,"500","14621","2042"
1277,"Casino Action",,50,"1000","5166","670"
1277,"Casino Action",,50,"1250","744","106"
1277,"Casino Action",,50,"2000","2046","252"
1277,"Casino Action",,50,"10000","108","10"
1277,"Casino Action",,50,"7500000","3",
1277,"Casino Action",,50,"TOTAL","1548540","216716"
1293,"Double Blackjack",,2,"2","591061","452827"
1293,"Double Blackjack",,2,"4","788503","620036"
1293,"Double Blackjack",,2,"5","98538","77223"
1293,"Double Blackjack",,2,"10","114881","92321"
1293,"Double Blackjack",,2,"20","49323","39621"
1293,"Double Blackjack",,2,"50","35552","28930"
1293,"Double Blackjack",,2,"100","13066","10575"
1293,"Double Blackjack",,2,"500","832","658"
1293,"Double Blackjack",,2,"2100","23","18"
1293,"Double Blackjack",,2,"21000","8","6"
1293,"Double Blackjack",,2,"TOTAL","1691787","1322215"
1297,"Red Hot Cherries","04/04/2012",1,"1","984640","858024"
1297,"Red Hot Cherries","04/04/2012",1,"2","1136256","1018017"
1297,"Red Hot Cherries","04/04/2012",1,"4","227302","207351"
1297,"Red Hot Cherries","04/04/2012",1,"5","75772","69662"
1297,"Red Hot Cherries","04/04/2012",1,"10","75750","70325"
1297,"Red Hot Cherries","04/04/2012",1,"20","37864","35288"
1297,"Red Hot Cherries","04/04/2012",1,"40","4751","4437"
1297,"Red Hot Cherries","04/04/2012",1,"50","2363","2225"
1297,"Red Hot Cherries","04/04/2012",1,"100","1892","1765"
1297,"Red Hot Cherries","04/04/2012",1,"500","241","222"
1297,"Red Hot Cherries","04/04/2012",1,"1000","144","138"
1297,"Red Hot Cherries","04/04/2012",1,"TOTAL","2546975","2267454"
1310,"Triple Your Money",,2,"2","595899","465519"
1310,"Triple Your Money",,2,"3","728385","574205"
1310,"Triple Your Money",,2,"5","165537","132757"
1310,"Triple Your Money",,2,"10","115943","94183"
1310,"Triple Your Money",,2,"15","49631","40268"
1310,"Triple Your Money",,2,"20","66183","53957"
1310,"Triple Your Money",,2,"30","27597","22345"
1310,"Triple Your Money",,2,"60","20502","16710"
1310,"Triple Your Money",,2,"200","4821","3921"
1310,"Triple Your Money",,2,"1000","139","112"
1310,"Triple Your Money",,2,"20000","8","6"
1310,"Triple Your Money",,2,"TOTAL","1774645","1403983"
1317,"Yellow Rose of Texas",,2,"2","659764","475726"
1317,"Yellow Rose of Texas",,2,"4","758986","565521"
1317,"Yellow Rose of Texas",,2,"5","98988","73573"
1317,"Yellow Rose of Texas",,2,"10","115434","88858"
1317,"Yellow Rose of Texas",,2,"20","49520","38212"
1317,"Yellow Rose of Texas",,2,"50","54961","43012"
1317,"Yellow Rose of Texas",,2,"100","7681","6027"
1317,"Yellow Rose of Texas",,2,"1000","49","43"
1317,"Yellow Rose of Texas",,2,"20000","8","5"
1317,"Yellow Rose of Texas",,2,"TOTAL","1745391","1290977"
1321,"Veterans Cash","04/04/2012",2,"2","1411663","1042348"
1321,"Veterans Cash","04/04/2012",2,"5","664391","502316"
1321,"Veterans Cash","04/04/2012",2,"10","207670","160705"
1321,"Veterans Cash","04/04/2012",2,"20","82983","64391"
1321,"Veterans Cash","04/04/2012",2,"30","31129","24634"
1321,"Veterans Cash","04/04/2012",2,"50","13585","10486"
1321,"Veterans Cash","04/04/2012",2,"100","4110","3188"
1321,"Veterans Cash","04/04/2012",2,"PRIZE PACK","3455","1460"
1321,"Veterans Cash","04/04/2012",2,"1000","19","11"
1321,"Veterans Cash","04/04/2012",2,"20000","11","8"
1321,"Veterans Cash","04/04/2012",2,"TOTAL","2419016","1809547"
1322,"Funky 5's",,5,"5","493829","353519"
1322,"Funky 5's",,5,"10","658498","483988"
1322,"Funky 5's",,5,"15","185272","137737"
1322,"Funky 5's",,5,"20","164591","123504"
1322,"Funky 5's",,5,"50","82313","61482"
1322,"Funky 5's",,5,"100","7704","5727"
1322,"Funky 5's",,5,"200","262","190"
1322,"Funky 5's",,5,"500","728","565"
1322,"Funky 5's",,5,"1000","156","115"
1322,"Funky 5's",,5,"5000","21","14"
1322,"Funky 5's",,5,"50000","6","4"
1322,"Funky 5's",,5,"TOTAL","1593380","1166845"
1333,"Break The Bank",,2,"2","1508525","1228725"
1333,"Break The Bank",,2,"4","892936","749640"
1333,"Break The Bank",,2,"6","246220","210319"
1333,"Break The Bank",,2,"8","61657","52958"
1333,"Break The Bank",,2,"10","153946","132621"
1333,"Break The Bank",,2,"12","184698","159897"
1333,"Break The Bank",,2,"20","92289","79877"
1333,"Break The Bank",,2,"50","56997","49634"
1333,"Break The Bank",,2,"200","10772","9327"
1333,"Break The Bank",,2,"1000","327","281"
1333,"Break The Bank",,2,"3000","79","71"
1333,"Break The Bank",,2,"30000","10","7"
1333,"Break The Bank",,2,"TOTAL","3208456","2673357"
1336,"Veterans Cash",,2,"2","792054","146606"
1336,"Veterans Cash",,2,"4","791785","155774"
1336,"Veterans Cash",,2,"5","197878","38306"
1336,"Veterans Cash",,2,"10","98981","20331"
1336,"Veterans Cash",,2,"20","66041","13385"
1336,"Veterans Cash",,2,"50","36444","7845"
1336,"Veterans Cash",,2,"100","3444","741"
1336,"Veterans Cash",,2,"1000","104","11"
1336,"Veterans Cash",,2,"20000","20","2"
1336,"Veterans Cash",,2,"TOTAL","1986751","383001"
1341,"Loteria® Texas","05/02/2012",3,"3","2038492","1821606"
1341,"Loteria® Texas","05/02/2012",3,"4","479752","429227"
1341,"Loteria® Texas","05/02/2012",3,"7","419716","387976"
1341,"Loteria® Texas","05/02/2012",3,"10","269711","245448"
1341,"Loteria® Texas","05/02/2012",3,"17","239922","223662"
1341,"Loteria® Texas","05/02/2012",3,"20","239787","220280"
1341,"Loteria® Texas","05/02/2012",3,"30","24944","23333"
1341,"Loteria® Texas","05/02/2012",3,"33","12499","11692"
1341,"Loteria® Texas","05/02/2012",3,"50","11887","10948"
1341,"Loteria® Texas","05/02/2012",3,"80","9993","9376"
1341,"Loteria® Texas","05/02/2012",3,"300","7479","6784"
1341,"Loteria® Texas","05/02/2012",3,"3000","226","209"
1341,"Loteria® Texas","05/02/2012",3,"33000","30","29"
1341,"Loteria® Texas","05/02/2012",3,"TOTAL","3754438","3390570"
1342,"Bonus Break The Bank","05/02/2012",5,"5","1408204","1317646"
1342,"Bonus Break The Bank","05/02/2012",5,"10","1609950","1531005"
1342,"Bonus Break The Bank","05/02/2012",5,"15","553215","528913"
1342,"Bonus Break The Bank","05/02/2012",5,"20","150995","144412"
1342,"Bonus Break The Bank","05/02/2012",5,"50","196172","188609"
1342,"Bonus Break The Bank","05/02/2012",5,"100","37791","36127"
1342,"Bonus Break The Bank","05/02/2012",5,"500","2010","1916"
1342,"Bonus Break The Bank","05/02/2012",5,"1000","384","371"
1342,"Bonus Break The Bank","05/02/2012",5,"7500","40","38"
1342,"Bonus Break The Bank","05/02/2012",5,"75000","21","20"
1342,"Bonus Break The Bank","05/02/2012",5,"TOTAL","3958782","3749057"
1343,"Monthly Bonus","04/09/2012",5,"5","1029476","827819"
1343,"Monthly Bonus","04/09/2012",5,"10","1132879","931215"
1343,"Monthly Bonus","04/09/2012",5,"15","205765","166965"
1343,"Monthly Bonus","04/09/2012",5,"20","411823","340018"
1343,"Monthly Bonus","04/09/2012",5,"25","103094","86575"
1343,"Monthly Bonus","04/09/2012",5,"50","205944","170563"
1343,"Monthly Bonus","04/09/2012",5,"60","32963","27772"
1343,"Monthly Bonus","04/09/2012",5,"200","6968","5752"
1343,"Monthly Bonus","04/09/2012",5,"2000","220","185"
1343,"Monthly Bonus","04/09/2012",5,"20000","41","34"
1343,"Monthly Bonus","04/09/2012",5,"$10,000/month**","4","4"
1343,"Monthly Bonus","04/09/2012",5,"TOTAL","3129177","2556902"
1348,"'7-11-21®",,1,"1","143275","55958"
1348,"'7-11-21®",,1,"2","37257","14840"
1348,"'7-11-21®",,1,"3","34363","13788"
1348,"'7-11-21®",,1,"4","8602","3472"
1348,"'7-11-21®",,1,"5","5731","2323"
1348,"'7-11-21®",,1,"6","5737","2310"
1348,"'7-11-21®",,1,"10","5731","2345"
1348,"'7-11-21®",,1,"20","1231","500"
1348,"'7-11-21®",,1,"50","143","60"
1348,"'7-11-21®",,1,"300","29","15"
1348,"'7-11-21®",,1,"TOTAL","242099","95611"
1349,"Set For Life",,10,"10","1448444","4"
1349,"Set For Life",,10,"20","1206882","6"
1349,"Set For Life",,10,"50","201222",
1349,"Set For Life",,10,"100","162517","1"
1349,"Set For Life",,10,"200","25356",
1349,"Set For Life",,10,"500","3544",
1349,"Set For Life",,10,"1000","308",
1349,"Set For Life",,10,"2500","205",
1349,"Set For Life",,10,"$250,000/year**","3",
1349,"Set For Life",,10,"TOTAL","3048481","11"
1350,"Bingo Multi-Prize",,5,"5","2625528","1539372"
1350,"Bingo Multi-Prize",,5,"10","720871","423141"
1350,"Bingo Multi-Prize",,5,"15","360432","214773"
1350,"Bingo Multi-Prize",,5,"20","308940","182806"
1350,"Bingo Multi-Prize",,5,"25","149367","89984"
1350,"Bingo Multi-Prize",,5,"30","41909","25168"
1350,"Bingo Multi-Prize",,5,"40","38590","22836"
1350,"Bingo Multi-Prize",,5,"50","66347","39667"
1350,"Bingo Multi-Prize",,5,"75","16769","9876"
1350,"Bingo Multi-Prize",,5,"100","32454","19077"
1350,"Bingo Multi-Prize",,5,"200","14162","8239"
1350,"Bingo Multi-Prize",,5,"500","3714","2280"
1350,"Bingo Multi-Prize",,5,"1000","93","55"
1350,"Bingo Multi-Prize",,5,"2000","29","19"
1350,"Bingo Multi-Prize",,5,"5000","44","24"
1350,"Bingo Multi-Prize",,5,"20000","16","5"
1350,"Bingo Multi-Prize",,5,"50000","16","11"
1350,"Bingo Multi-Prize",,5,"TOTAL","4379281","2577333"
1351,"Bonus Cashword",,3,"3","3456712","2481989"
1351,"Bonus Cashword",,3,"5","4444256","3421475"
1351,"Bonus Cashword",,3,"10","617200","482164"
1351,"Bonus Cashword",,3,"20","370419","291149"
1351,"Bonus Cashword",,3,"100","63264","49721"
1351,"Bonus Cashword",,3,"500","12815","10075"
1351,"Bonus Cashword",,3,"5000","78","65"
1351,"Bonus Cashword",,3,"35000","52","40"
1351,"Bonus Cashword",,3,"TOTAL","8964796","6736678"
1353,"9's In A Line","04/04/2012",1,"1","1245481","1124602"
1353,"9's In A Line","04/04/2012",1,"2","2075766","1926328"
1353,"9's In A Line","04/04/2012",1,"4","519062","490667"
1353,"9's In A Line","04/04/2012",1,"5","138403","131513"
1353,"9's In A Line","04/04/2012",1,"10","138322","132566"
1353,"9's In A Line","04/04/2012",1,"20","60629","58397"
1353,"9's In A Line","04/04/2012",1,"40","33678","32470"
1353,"9's In A Line","04/04/2012",1,"100","1731","1663"
1353,"9's In A Line","04/04/2012",1,"999","173","166"
1353,"9's In A Line","04/04/2012",1,"TOTAL","4213245","3898372"
1354,"$500 Million Frenzy",,20,"20","6575037","2104041"
1354,"$500 Million Frenzy",,20,"25","2768530","878476"
1354,"$500 Million Frenzy",,20,"30","1384265","447770"
1354,"$500 Million Frenzy",,20,"50","692113","220967"
1354,"$500 Million Frenzy",,20,"100","836412","266923"
1354,"$500 Million Frenzy",,20,"200","151368","48511"
1354,"$500 Million Frenzy",,20,"500","46140","14541"
1354,"$500 Million Frenzy",,20,"1000","23048","7238"
1354,"$500 Million Frenzy",,20,"10000","886","278"
1354,"$500 Million Frenzy",,20,"25000","296","95"
1354,"$500 Million Frenzy",,20,"1000000","40","12"
1354,"$500 Million Frenzy",,20,"2500000","10","3"
1354,"$500 Million Frenzy",,20,"TOTAL","12478145","3988855"
1355,"Weekly Grand",,2,"2","4614454","2107315"
1355,"Weekly Grand",,2,"4","3121269","1480635"
1355,"Weekly Grand",,2,"5","203597","96493"
1355,"Weekly Grand",,2,"10","339513","164843"
1355,"Weekly Grand",,2,"20","203518","92106"
1355,"Weekly Grand",,2,"40","188862","92635"
1355,"Weekly Grand",,2,"300","10749","5329"
1355,"Weekly Grand",,2,"$1,000/wk**","4","2"
1355,"Weekly Grand",,2,"TOTAL","8681966","4039358"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"10","863286","797309"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"20","863281","809358"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"50","92440","87401"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"100","25665","24105"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"200","9235","8683"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"500","4435","4230"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"1000","419","391"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"5000","105","100"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"10000","16","14"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"1000000","6","5"
1356,"Texas Lottery Black-Series III-Limited Edition","05/02/2012",10,"TOTAL","1858888","1731596"
1358,"Mega Money",,5,"5","768979","530432"
1358,"Mega Money",,5,"10","1009271","711963"
1358,"Mega Money",,5,"20","192202","136121"
1358,"Mega Money",,5,"50","73895","52739"
1358,"Mega Money",,5,"100","12008","8556"
1358,"Mega Money",,5,"500","850","597"
1358,"Mega Money",,5,"1000","161","122"
1358,"Mega Money",,5,"175000","7","3"
1358,"Mega Money",,5,"TOTAL","2057373","1440533"
1359,"$250,000 Bingo",,10,"10","924039","556993"
1359,"$250,000 Bingo",,10,"20","251904","152481"
1359,"$250,000 Bingo",,10,"30","17467","10684"
1359,"$250,000 Bingo",,10,"50","91081","55002"
1359,"$250,000 Bingo",,10,"75","10534","6336"
1359,"$250,000 Bingo",,10,"100","17543","10610"
1359,"$250,000 Bingo",,10,"125","7003","4259"
1359,"$250,000 Bingo",,10,"175","7045","4317"
1359,"$250,000 Bingo",,10,"250","5773","3426"
1359,"$250,000 Bingo",,10,"500","4233","2568"
1359,"$250,000 Bingo",,10,"750","270","150"
1359,"$250,000 Bingo",,10,"1000","24","15"
1359,"$250,000 Bingo",,10,"2500","7","4"
1359,"$250,000 Bingo",,10,"10000","6","3"
1359,"$250,000 Bingo",,10,"250000","6","3"
1359,"$250,000 Bingo",,10,"TOTAL","1336935","806851"
1360,"Triple Tripler",,3,"3","392465","341212"
1360,"Triple Tripler",,3,"6","539952","480561"
1360,"Triple Tripler",,3,"9","110536","99053"
1360,"Triple Tripler",,3,"15","36751","33190"
1360,"Triple Tripler",,3,"18","61434","55630"
1360,"Triple Tripler",,3,"24","49053","44164"
1360,"Triple Tripler",,3,"30","49085","44393"
1360,"Triple Tripler",,3,"60","18650","16978"
1360,"Triple Tripler",,3,"90","6634","5995"
1360,"Triple Tripler",,3,"300","1437","1280"
1360,"Triple Tripler",,3,"3000","23","18"
1360,"Triple Tripler",,3,"33333","7","6"
1360,"Triple Tripler",,3,"TOTAL","1266027","1122480"
1361,"Triple 7's",,5,"5","535129","291394"
1361,"Triple 7's",,5,"10","658348","362654"
1361,"Triple 7's",,5,"20","288143","159750"
1361,"Triple 7's",,5,"50","41683","23373"
1361,"Triple 7's",,5,"100","14163","7847"
1361,"Triple 7's",,5,"200","3323","1829"
1361,"Triple 7's",,5,"500","2179","1201"
1361,"Triple 7's",,5,"1000","314","174"
1361,"Triple 7's",,5,"5000","20","12"
1361,"Triple 7's",,5,"50000","6","4"
1361,"Triple 7's",,5,"TOTAL","1543308","848238"
1362,"Sweet Cash",,1,"1","1212071","403945"
1362,"Sweet Cash",,1,"2","984734","342249"
1362,"Sweet Cash",,1,"4","284048","102497"
1362,"Sweet Cash",,1,"5","75831","27653"
1362,"Sweet Cash",,1,"10","75733","28264"
1362,"Sweet Cash",,1,"20","28398","10697"
1362,"Sweet Cash",,1,"40","15362","5921"
1362,"Sweet Cash",,1,"100","958","342"
1362,"Sweet Cash",,1,"1000","96","32"
1362,"Sweet Cash",,1,"TOTAL","2677231","921600"
1363,"Dallas Cowboys",,5,"5","1301177","806789"
1363,"Dallas Cowboys",,5,"10","1138459","719321"
1363,"Dallas Cowboys",,5,"20","130114","82759"
1363,"Dallas Cowboys",,5,"50","65061","41642"
1363,"Dallas Cowboys",,5,"100","26911","17198"
1363,"Dallas Cowboys",,5,"1000","375","246"
1363,"Dallas Cowboys",,5,"5000","83","57"
1363,"Dallas Cowboys",,5,"100000","26","15"
1363,"Dallas Cowboys",,5,"TOTAL","2662206","1668027"
1364,"Houston Texans",,5,"5","757459","532852"
1364,"Houston Texans",,5,"10","606091","433568"
1364,"Houston Texans",,5,"20","132519","95371"
1364,"Houston Texans",,5,"50","38170","27633"
1364,"Houston Texans",,5,"100","16856","12282"
1364,"Houston Texans",,5,"1000","315","217"
1364,"Houston Texans",,5,"5000","21","14"
1364,"Houston Texans",,5,"100000","14","11"
1364,"Houston Texans",,5,"TOTAL","1551445","1101948"
1365,"Haunted Halloween","04/04/2012",2,"2","495473","409517"
1365,"Haunted Halloween","04/04/2012",2,"4","495753","421149"
1365,"Haunted Halloween","04/04/2012",2,"5","123964","104909"
1365,"Haunted Halloween","04/04/2012",2,"10","61944","53943"
1365,"Haunted Halloween","04/04/2012",2,"20","41263","36052"
1365,"Haunted Halloween","04/04/2012",2,"50","22818","20113"
1365,"Haunted Halloween","04/04/2012",2,"100","2134","1851"
1365,"Haunted Halloween","04/04/2012",2,"1000","72","60"
1365,"Haunted Halloween","04/04/2012",2,"20000","12","10"
1365,"Haunted Halloween","04/04/2012",2,"TOTAL","1243433","1047604"
1366,"Quick 6's","05/02/2012",1,"1","1136308","986053"
1366,"Quick 6's","05/02/2012",1,"2","984730","878240"
1366,"Quick 6's","05/02/2012",1,"4","151452","138129"
1366,"Quick 6's","05/02/2012",1,"6","75726","69778"
1366,"Quick 6's","05/02/2012",1,"12","94714","87939"
1366,"Quick 6's","05/02/2012",1,"20","40736","38073"
1366,"Quick 6's","05/02/2012",1,"30","3789","3561"
1366,"Quick 6's","05/02/2012",1,"60","1902","1773"
1366,"Quick 6's","05/02/2012",1,"100","467","443"
1366,"Quick 6's","05/02/2012",1,"160","947","881"
1366,"Quick 6's","05/02/2012",1,"600","482","446"
1366,"Quick 6's","05/02/2012",1,"TOTAL","2491253","2205316"
1367,"Black Onyx 7's","03/18/2012",5,"5","574005","539160"
1367,"Black Onyx 7's","03/18/2012",5,"10","615104","581404"
1367,"Black Onyx 7's","03/18/2012",5,"15","164033","155275"
1367,"Black Onyx 7's","03/18/2012",5,"20","205017","196251"
1367,"Black Onyx 7's","03/18/2012",5,"50","17957","17361"
1367,"Black Onyx 7's","03/18/2012",5,"100","20779","19741"
1367,"Black Onyx 7's","03/18/2012",5,"500","3325","3190"
1367,"Black Onyx 7's","03/18/2012",5,"2000","134","130"
1367,"Black Onyx 7's","03/18/2012",5,"70000","6","6"
1367,"Black Onyx 7's","03/18/2012",5,"TOTAL","1600360","1512518"
1369,"Happy Holidays!","04/04/2012",1,"1","1299520","1130476"
1369,"Happy Holidays!","04/04/2012",1,"2","893764","799677"
1369,"Happy Holidays!","04/04/2012",1,"4","162610","148384"
1369,"Happy Holidays!","04/04/2012",1,"5","162629","149083"
1369,"Happy Holidays!","04/04/2012",1,"10","121886","113475"
1369,"Happy Holidays!","04/04/2012",1,"20","81181","76627"
1369,"Happy Holidays!","04/04/2012",1,"40","9388","8906"
1369,"Happy Holidays!","04/04/2012",1,"50","4792","4536"
1369,"Happy Holidays!","04/04/2012",1,"100","1469","1376"
1369,"Happy Holidays!","04/04/2012",1,"500","402","384"
1369,"Happy Holidays!","04/04/2012",1,"1000","150","142"
1369,"Happy Holidays!","04/04/2012",1,"TOTAL","2737791","2433066"
1370,"Silver Bells",,5,"5","1436949","869746"
1370,"Silver Bells",,5,"10","1436840","887455"
1370,"Silver Bells",,5,"20","403952","253437"
1370,"Silver Bells",,5,"50","187334","118031"
1370,"Silver Bells",,5,"100","23566","14778"
1370,"Silver Bells",,5,"500","2376","1516"
1370,"Silver Bells",,5,"1000","1243","751"
1370,"Silver Bells",,5,"5000","52","35"
1370,"Silver Bells",,5,"175000","10","6"
1370,"Silver Bells",,5,"TOTAL","3492322","2145755"
1371,"Holiday Gold","05/02/2012",2,"2","575296","503698"
1371,"Holiday Gold","05/02/2012",2,"3","632687","554978"
1371,"Holiday Gold","05/02/2012",2,"4","230190","203387"
1371,"Holiday Gold","05/02/2012",2,"5","114947","102466"
1371,"Holiday Gold","05/02/2012",2,"10","14411","12789"
1371,"Holiday Gold","05/02/2012",2,"15","28717","25729"
1371,"Holiday Gold","05/02/2012",2,"20","57517","51567"
1371,"Holiday Gold","05/02/2012",2,"40","19508","17757"
1371,"Holiday Gold","05/02/2012",2,"50","18550","16836"
1371,"Holiday Gold","05/02/2012",2,"100","6281","5618"
1371,"Holiday Gold","05/02/2012",2,"200","1207","1063"
1371,"Holiday Gold","05/02/2012",2,"500","593","511"
1371,"Holiday Gold","05/02/2012",2,"1000","59","50"
1371,"Holiday Gold","05/02/2012",2,"20000","7","6"
